0;System;start;0;0
0;Player1;explorer;186.8539;0.1393963
0;Player2;explorer;-189.2427;0.13
0;Player1;pos;186.8539;0.1393963
0;Player2;pos;-189.2427;0.13
0.02;Player1;pos;186.8539;0.1393963
0.02;Player2;pos;-189.2427;0.13
0.03552833;Player1;pos;186.8539;0.1393963
0.03552833;Player2;pos;-189.2427;0.13
0.04611385;Player1;pos;186.8539;0.1393963
0.04611385;Player2;pos;-189.2427;0.13
0.07026727;Player1;pos;186.8539;0.1393963
0.07026727;Player2;pos;-189.2427;0.13
0.09095755;Player1;pos;186.8539;0.1393963
0.09095755;Player2;pos;-189.2427;0.13
0.1048165;Player1;pos;186.8539;0.1393963
0.1048165;Player2;pos;-189.2427;0.13
0.1190889;Player1;pos;186.8539;0.1393963
0.1190889;Player2;pos;-189.2427;0.13
0.1318755;Player1;pos;186.8539;0.1393963
0.1318755;Player2;pos;-189.2427;0.13
0.1448597;Player1;pos;186.8539;0.1393963
0.1448597;Player2;pos;-189.2427;0.13
0.1588616;Player1;pos;186.8539;0.1393963
0.1588616;Player2;pos;-189.2427;0.13
0.1718233;Player1;pos;186.8539;0.1393963
0.1718233;Player2;pos;-189.2427;0.13
0.1934832;Player1;pos;186.8539;0.1393963
0.1934832;Player2;pos;-189.2427;0.13
0.2033494;Player1;pos;186.8539;0.1393963
0.2033494;Player2;pos;-189.2427;0.13
0.212943;Player1;pos;186.8539;0.1393963
0.212943;Player2;pos;-189.2427;0.13
0.2260204;Player1;pos;186.8539;0.1393963
0.2260204;Player2;pos;-189.2427;0.13
0.2389211;Player1;pos;186.8539;0.1393963
0.2389211;Player2;pos;-189.2427;0.13
0.2529585;Player1;pos;186.8539;0.1393963
0.2529585;Player2;pos;-189.2427;0.13
0.2661199;Player1;pos;186.8539;0.1393963
0.2661199;Player2;pos;-189.2427;0.13
0.2795306;Player1;pos;186.8539;0.1393963
0.2795306;Player2;pos;-189.2427;0.13
0.2919445;Player1;pos;186.8539;0.1393963
0.2919445;Player2;pos;-189.2427;0.13
0.3060751;Player1;pos;186.8539;0.1393963
0.3060751;Player2;pos;-189.2427;0.13
0.3189786;Player1;pos;186.8539;0.1393963
0.3189786;Player2;pos;-189.2427;0.13
0.3321157;Player1;pos;186.8539;0.1393963
0.3321157;Player2;pos;-189.2427;0.13
0.3450618;Player1;pos;186.8539;0.1393963
0.3450618;Player2;pos;-189.2427;0.13
0.3580173;Player1;pos;186.8539;0.1393963
0.3580173;Player2;pos;-189.2427;0.13
0.372035;Player1;pos;186.8539;0.1393963
0.372035;Player2;pos;-189.2427;0.13
0.3849378;Player1;pos;186.8539;0.1393963
0.3849378;Player2;pos;-189.2427;0.13
